"Aufnahmezeit;Stromstärke (A);Wirkleistung (W);Scheinleistung (W)"
"09.11.22 18:28;0;0;0"
"09.11.22 18:29;0;0;0"
"09.11.22 18:30;0,199;10,034376;45,6108"
"09.11.22 18:31;0,478;55,898754;109,6054"
"09.11.22 18:32;0,488;57,043296;111,8496"
"09.11.22 18:33;0,493;57,627756;112,9956"
"09.11.22 18:34;0,499;58,303659;114,3209"
"09.11.22 18:35;0,506;57,9623;115,9246"
"09.11.22 18:36;0,51;58,4205;116,841"
"09.11.22 18:37;0,513;58,81545;117,6309"
"09.11.22 18:38;0,517;59,2482;118,4964"
"09.11.22 18:39;0,52;59,592;119,184"
"09.11.22 18:40;0,519;59,4774;118,9548"
"09.11.22 18:41;0,522;59,769;119,538"
"09.11.22 18:42;0,521;59,6545;119,309"
"09.11.22 18:43;0,522;59,7951;119,5902"
"09.11.22 18:44;0,522;59,7951;119,5902"
"09.11.22 18:45;0,524;58,823716;120,0484"
"09.11.22 18:46;0,52;59,566;119,132"
"09.11.22 18:47;0,521;59,73265;119,4653"
"09.11.22 18:48;0,522;59,8212;119,6424"
"09.11.22 18:49;0,523;59,9358;119,8716"
"09.11.22 18:50;0,525;60,19125;120,3825"
"09.11.22 18:51;0,532;59,747856;121,9344"
"09.11.22 18:52;0,531;59,609529;121,6521"
"09.11.22 18:53;0,53;59,54921;121,529"
"09.11.22 18:54;0,533;59,912398;122,2702"
"09.11.22 18:55;0,532;59,669652;121,7748"
"09.11.22 18:56;0,535;60,03235;122,515"
"09.11.22 18:57;0,537;60,335709;123,1341"
"09.11.22 18:58;0,537;60,362022;123,1878"
"09.11.22 18:59;0,534;60,05097;122,553"
"09.11.22 19:00;0,532;61,047;122,094"
"09.11.22 19:01;0,516;59,1594;118,3188"
"09.11.22 19:02;0,505;59,056215;115,7965"
"09.11.22 19:03;0,494;57,769842;113,2742"
"09.11.22 19:04;0,485;55,60525;111,2105"
"09.11.22 19:05;0,472;54,0912;108,1824"
"09.11.22 19:06;0,458;53,559894;105,0194"
"09.11.22 19:07;0,444;51,990624;101,9424"
"09.11.22 19:08;0,433;50,702568;99,4168"
"09.11.22 19:09;0,422;48,4034;96,8068"
"09.11.22 19:10;0,319;36,5893;73,1786"
"09.11.22 19:11;0,319;37,337355;73,2105"
"09.11.22 19:12;0,383;44,808702;87,8602"
"09.11.22 19:13;0,368;43,053792;84,4192"
"09.11.22 19:14;0,356;41,649864;81,6664"
"09.11.22 19:15;0,342;40,02939;78,489"
"09.11.22 19:16;0,329;38,474247;75,4397"
"09.11.22 19:17;0,317;37,087098;72,7198"
"09.11.22 19:18;0,305;35,667615;69,9365"
"09.11.22 19:19;0,294;34,381242;67,4142"
"09.11.22 19:20;0,284;32,5322;65,0644"
"09.11.22 19:21;0,274;31,4004;62,8008"
"09.11.22 19:22;0,266;30,4703;60,9406"
"09.11.22 19:23;0,259;29,075081;59,3369"
"09.11.22 19:24;0,252;27,711936;57,7332"
"09.11.22 19:25;0,248;26,703896;56,8168"
"09.11.22 19:26;0,242;25,503412;55,4422"
"09.11.22 19:27;0,235;24,76571;53,8385"
"09.11.22 19:28;0,23;23,73255;52,739"
"09.11.22 19:29;0,224;22,609664;51,3856"
"09.11.22 19:30;0,218;21,51333;50,031"
"09.11.22 19:31;0,211;20,804389;48,3823"
"09.11.22 19:32;0,204;19,654992;46,7976"
"09.11.22 19:33;0,198;18,622692;45,4212"
"09.11.22 19:34;0,193;18,144509;44,2549"
"09.11.22 19:35;0,189;17,33508;43,3377"
"09.11.22 19:36;0,185;16,55121;42,439"
"09.11.22 19:37;0,182;15,851472;41,7144"
"09.11.22 19:38;0,177;15,409266;40,5507"
"09.11.22 19:39;0,171;14,886918;39,1761"
"09.11.22 19:40;0,169;14,331876;38,7348"
"09.11.22 19:41;0,164;13,89572;37,556"
"09.11.22 19:42;0,16;13,18464;36,624"
"09.11.22 19:43;0,063;5,200524;14,4459"
"09.11.22 19:44;0,063;5,05386;14,4396"
"09.11.22 19:45;0,063;5,051655;14,4333"
"09.11.22 19:46;0,144;11,55672;33,0192"
"09.11.22 19:47;0,141;11,32089;32,3454"
"09.11.22 19:48;0,063;4,91589;14,4585"
"09.11.22 19:49;0,063;4,913748;14,4522"
"09.11.22 19:50;0,129;10,057098;29,5797"
"09.11.22 19:51;0,125;9,458625;28,6625"
"09.11.22 19:52;0,122;9,231618;27,9746"
"09.11.22 19:53;0,118;8,932836;27,0692"
"09.11.22 19:54;0,114;8,626266;26,1402"
"09.11.22 19:55;0,111;8,406585;25,4745"
"09.11.22 19:56;0,107;8,103645;24,5565"
"09.11.22 19:57;0,105;7,71456;24,108"
"09.11.22 19:58;0,102;7,497408;23,4294"
"09.11.22 19:59;0,099;7,276896;22,7403"
"09.11.22 20:00;0,096;7,053312;22,0416"
"09.11.22 20:01;0,094;6,906368;21,5824"
"09.11.22 20:02;0,091;6,691776;20,9118"
"09.11.22 20:03;0,089;6,547552;20,4611"
"09.11.22 20:04;0,086;6,129134;19,7714"
"09.11.22 20:05;0,082;5,844058;18,8518"
"09.11.22 20:06;0,079;5,635149;18,1779"
"09.11.22 20:07;0,078;5,382;17,94"
"09.11.22 20:08;0,075;5,17725;17,2575"
"09.11.22 20:09;0,074;5,11044;17,0348"
"09.11.22 20:10;0,072;4,97016;16,5672"
"09.11.22 20:11;0,07;4,8342;16,114"
"09.11.22 20:12;0,068;4,69812;15,6604"
"09.11.22 20:13;0,066;4,55796;15,1932"
"09.11.22 20:14;0,065;4,33927;14,963"
"09.11.22 20:15;0,063;4,205754;14,5026"
"09.11.22 20:16;0,062;4,142592;14,2848"
"09.11.22 20:17;0,06;4,00896;13,824"
"09.11.22 20:18;0,059;3,943855;13,5995"
"09.11.22 20:19;0,038;1,75104;8,7552"
"09.11.22 20:20;0,026;0,89895;5,993"
"09.11.22 20:21;0,026;0,89895;5,993"
"09.11.22 20:22;0,026;0,89934;5,9956"
"09.11.22 20:23;0,026;0,89934;5,9956"
"09.11.22 20:24;0,026;0,89973;5,9982"
"09.11.22 20:25;0,026;0,89037;5,9358"
"09.11.22 20:26;0,026;0,88764;5,9176"
"09.11.22 20:27;0,026;0,88686;5,9124"
"09.11.22 20:28;0,026;0,88725;5,915"
"09.11.22 20:29;0,026;0,88725;5,915"
"09.11.22 20:30;0,026;0,88686;5,9124"
"09.11.22 20:31;0,026;0,88686;5,9124"
"09.11.22 20:32;0,026;0,88647;5,9098"
"09.11.22 20:33;0,026;0,88686;5,9124"
"09.11.22 20:34;0,026;0,88686;5,9124"
"09.11.22 20:35;0,026;0,88725;5,915"
"09.11.22 20:36;0,026;0,88686;5,9124"
"09.11.22 20:37;0,026;0,88725;5,915"
"09.11.22 20:38;0,026;0,88647;5,9098"
"09.11.22 20:39;0,026;0,88608;5,9072"
"09.11.22 20:40;0,026;0,88569;5,9046"
"09.11.22 20:41;0,026;0,88608;5,9072"
"09.11.22 20:42;0,026;0,88647;5,9098"
"09.11.22 20:43;0,026;0,88647;5,9098"
"09.11.22 20:44;0,026;0,88647;5,9098"
"09.11.22 20:45;0,026;0,88608;5,9072"
"09.11.22 20:46;0,026;0,88686;5,9124"
"09.11.22 20:47;0,026;0,88686;5,9124"
"09.11.22 20:48;0,026;0,88686;5,9124"
"09.11.22 20:49;0,026;0,88686;5,9124"
"09.11.22 20:50;0,026;0,88686;5,9124"
"09.11.22 20:51;0,026;0,88725;5,915"
"09.11.22 20:52;0,026;0,88725;5,915"
"09.11.22 20:53;0,026;0,88764;5,9176"
"09.11.22 20:54;0,026;0,88725;5,915"
"09.11.22 20:55;0,026;0,88725;5,915"
"09.11.22 20:56;0,026;0,88764;5,9176"
"09.11.22 20:57;0,026;0,88842;5,9228"
"09.11.22 20:58;0,026;0,88764;5,9176"
"09.11.22 20:59;0,026;0,88725;5,915"
"09.11.22 21:00;0,026;0,88725;5,915"
"09.11.22 21:01;0,027;0,859194;6,1371"
"09.11.22 21:02;0,027;0,85995;6,1425"
"09.11.22 21:03;0,026;0,88764;5,9176"
"09.11.22 21:04;0,026;0,88764;5,9176"
"09.11.22 21:05;0,026;0,88725;5,915"
"09.11.22 21:06;0,026;0,88725;5,915"
"09.11.22 21:07;0,026;0,88686;5,9124"
"09.11.22 21:08;0,026;0,88413;5,8942"
"09.11.22 21:09;0,026;0,8814;5,876"
"09.11.22 21:10;0,026;0,88101;5,8734"
"09.11.22 21:11;0,026;0,88062;5,8708"
"09.11.22 21:12;0,026;0,88101;5,8734"
"09.11.22 21:13;0,026;0,88218;5,8812"
"09.11.22 21:14;0,026;0,88218;5,8812"
"09.11.22 21:15;0,026;0,88218;5,8812"
"09.11.22 21:16;0,026;0,88218;5,8812"
"09.11.22 21:17;0,026;0,88218;5,8812"
"09.11.22 21:18;0,026;0,88218;5,8812"
"09.11.22 21:19;0,026;0,88179;5,8786"
"09.11.22 21:20;0,026;0,88179;5,8786"
"09.11.22 21:21;0,026;0,88218;5,8812"
"09.11.22 21:22;0,026;0,88218;5,8812"
"09.11.22 21:23;0,026;0,88257;5,8838"
"09.11.22 21:24;0,026;0,88296;5,8864"
"09.11.22 21:25;0,026;0,88296;5,8864"
"09.11.22 21:26;0,026;0,88296;5,8864"
"09.11.22 21:27;0,026;0,88335;5,889"
"09.11.22 21:28;0,026;0,88335;5,889"
"09.11.22 21:29;0,026;0,88335;5,889"
"09.11.22 21:30;0,026;0,88452;5,8968"
"09.11.22 21:31;0,026;0,88452;5,8968"
"09.11.22 21:32;0,026;0,88491;5,8994"
"09.11.22 21:33;0,026;0,88452;5,8968"
"09.11.22 21:34;0,026;0,88452;5,8968"
"09.11.22 21:35;0,026;0,8853;5,902"
"09.11.22 21:36;0,028;0,890232;6,3588"
"09.11.22 21:37;0,026;0,88608;5,9072"
"09.11.22 21:38;0,026;0,88569;5,9046"
"09.11.22 21:39;0,026;0,88569;5,9046"
"09.11.22 21:40;0,026;0,88569;5,9046"
"09.11.22 21:41;0,026;0,88608;5,9072"
"09.11.22 21:42;0,026;0,88608;5,9072"
"09.11.22 21:43;0,026;0,88608;5,9072"
"09.11.22 21:44;0,026;0,88608;5,9072"
"09.11.22 21:45;0,026;0,88569;5,9046"
"09.11.22 21:46;0,026;0,8853;5,902"
"09.11.22 21:47;0,026;0,88374;5,8916"
"09.11.22 21:48;0,026;0,88413;5,8942"
"09.11.22 21:49;0,026;0,88413;5,8942"
"09.11.22 21:50;0,026;0,88491;5,8994"
"09.11.22 21:51;0,026;0,88491;5,8994"
"09.11.22 21:52;0,026;0,88491;5,8994"
"09.11.22 21:53;0,026;0,8853;5,902"
"09.11.22 21:54;0,026;0,8853;5,902"
"09.11.22 21:55;0,026;0,88647;5,9098"
"09.11.22 21:56;0,026;0,88764;5,9176"
"09.11.22 21:57;0,026;0,88764;5,9176"
"09.11.22 21:58;0,026;0,88803;5,9202"
"09.11.22 21:59;0,026;0,88764;5,9176"
"09.11.22 22:00;0,026;0,88803;5,9202"
"09.11.22 22:01;0,027;0,862596;6,1614"
"09.11.22 22:02;0,026;0,89154;5,9436"
"09.11.22 22:03;0,026;0,88842;5,9228"
"09.11.22 22:04;0,026;0,88608;5,9072"
"09.11.22 22:05;0,026;0,88608;5,9072"
"09.11.22 22:06;0,026;0,88686;5,9124"
"09.11.22 22:07;0,026;0,88686;5,9124"
"09.11.22 22:08;0,026;0,88725;5,915"
"09.11.22 22:09;0,026;0,88725;5,915"
"09.11.22 22:10;0,026;0,88803;5,9202"
"09.11.22 22:11;0,026;0,88803;5,9202"
"09.11.22 22:12;0,026;0,88803;5,9202"
"09.11.22 22:13;0,026;0,88725;5,915"
"09.11.22 22:14;0,026;0,88764;5,9176"
"09.11.22 22:15;0,026;0,88725;5,915"
"09.11.22 22:16;0,026;0,88764;5,9176"
"09.11.22 22:17;0,026;0,88725;5,915"
"09.11.22 22:18;0,026;0,88764;5,9176"
"09.11.22 22:19;0,026;0,88725;5,915"
"09.11.22 22:20;0,026;0,88725;5,915"
"09.11.22 22:21;0,026;0,88764;5,9176"
"09.11.22 22:22;0,026;0,88803;5,9202"
"09.11.22 22:23;0,026;0,88764;5,9176"
"09.11.22 22:24;0,026;0,88686;5,9124"
"09.11.22 22:25;0,026;0,88647;5,9098"
"09.11.22 22:26;0,026;0,88725;5,915"
"09.11.22 22:27;0,026;0,88725;5,915"
"09.11.22 22:28;0,026;0,88725;5,915"
"09.11.22 22:29;0,026;0,88725;5,915"
"09.11.22 22:30;0,026;0,88764;5,9176"
"09.11.22 22:31;0,026;0,88686;5,9124"
"09.11.22 22:32;0,026;0,88764;5,9176"
"09.11.22 22:33;0,026;0,88764;5,9176"
"09.11.22 22:34;0,026;0,88764;5,9176"
"09.11.22 22:35;0,026;0,88803;5,9202"
"09.11.22 22:36;0,026;0,88764;5,9176"
"09.11.22 22:37;0,026;0,88803;5,9202"
"09.11.22 22:38;0,026;0,88764;5,9176"
"09.11.22 22:39;0,026;0,88647;5,9098"
"09.11.22 22:40;0,026;0,88686;5,9124"
"09.11.22 22:41;0,026;0,88686;5,9124"
"09.11.22 22:42;0,026;0,88647;5,9098"
"09.11.22 22:43;0,026;0,88608;5,9072"
"09.11.22 22:44;0,026;0,88725;5,915"
"09.11.22 22:45;0,026;0,88764;5,9176"
"09.11.22 22:46;0,026;0,88647;5,9098"
"09.11.22 22:47;0,026;0,88725;5,915"
"09.11.22 22:48;0,026;0,88764;5,9176"
"09.11.22 22:49;0,026;0,88803;5,9202"
"09.11.22 22:50;0,026;0,88803;5,9202"
"09.11.22 22:51;0,026;0,88842;5,9228"
"09.11.22 22:52;0,026;0,88881;5,9254"
"09.11.22 22:53;0,026;0,88842;5,9228"
"09.11.22 22:54;0,026;0,88881;5,9254"
"09.11.22 22:55;0,026;0,8892;5,928"
"09.11.22 22:56;0,026;0,8892;5,928"
"09.11.22 22:57;0,026;0,88842;5,9228"
"09.11.22 22:58;0,026;0,88842;5,9228"
"09.11.22 22:59;0,026;0,88725;5,915"
"09.11.22 23:00;0,026;0,88686;5,9124"
"09.11.22 23:01;0,028;0,891408;6,3672"
"09.11.22 23:02;0,026;0,88608;5,9072"
"09.11.22 23:03;0,026;0,88647;5,9098"
"09.11.22 23:04;0,026;0,88725;5,915"
"09.11.22 23:05;0,026;0,88725;5,915"
"09.11.22 23:06;0,026;0,88764;5,9176"
"09.11.22 23:07;0,026;0,88764;5,9176"
"09.11.22 23:08;0,026;0,88803;5,9202"
"09.11.22 23:09;0,026;0,88764;5,9176"
"09.11.22 23:10;0,026;0,88803;5,9202"
"09.11.22 23:11;0,026;0,88881;5,9254"
"09.11.22 23:12;0,026;0,88881;5,9254"
"09.11.22 23:13;0,026;0,8892;5,928"
"09.11.22 23:14;0,026;0,88959;5,9306"
"09.11.22 23:15;0,026;0,88959;5,9306"
"09.11.22 23:16;0,026;0,88959;5,9306"
"09.11.22 23:17;0,026;0,88998;5,9332"
"09.11.22 23:18;0,026;0,88998;5,9332"
"09.11.22 23:19;0,026;0,89037;5,9358"
"09.11.22 23:20;0,026;0,89037;5,9358"
"09.11.22 23:21;0,026;0,88881;5,9254"
"09.11.22 23:22;0,026;0,88686;5,9124"
"09.11.22 23:23;0,026;0,88608;5,9072"
"09.11.22 23:24;0,026;0,88647;5,9098"
"09.11.22 23:25;0,026;0,88686;5,9124"
"09.11.22 23:26;0,026;0,88647;5,9098"
"09.11.22 23:27;0,026;0,88608;5,9072"
"09.11.22 23:28;0,026;0,88608;5,9072"
"09.11.22 23:29;0,026;0,88647;5,9098"
"09.11.22 23:30;0,026;0,88608;5,9072"
"09.11.22 23:31;0,027;0,920565;6,1371"
"09.11.22 23:32;0,026;0,88647;5,9098"
"09.11.22 23:33;0,026;0,88569;5,9046"
"09.11.22 23:34;0,026;0,8853;5,902"
"09.11.22 23:35;0,026;0,88569;5,9046"
"09.11.22 23:36;0,026;0,88569;5,9046"
"09.11.22 23:37;0,026;0,88569;5,9046"
"09.11.22 23:38;0,026;0,88569;5,9046"
"09.11.22 23:39;0,026;0,88608;5,9072"
"09.11.22 23:40;0,026;0,944736;5,9046"
"09.11.22 23:41;0,026;0,88608;5,9072"
"09.11.22 23:42;0,026;0,8853;5,902"
"09.11.22 23:43;0,026;0,8853;5,902"
"09.11.22 23:44;0,026;0,88608;5,9072"
"09.11.22 23:45;0,026;0,88569;5,9046"
"09.11.22 23:46;0,027;0,92016;6,1344"
"09.11.22 23:47;0,027;0,92016;6,1344"
"09.11.22 23:48;0,026;0,8853;5,902"
"09.11.22 23:49;0,026;0,88491;5,8994"
"09.11.22 23:50;0,026;0,88569;5,9046"
"09.11.22 23:51;0,026;0,88608;5,9072"
"09.11.22 23:52;0,026;0,88569;5,9046"
"09.11.22 23:53;0,026;0,88608;5,9072"
"09.11.22 23:54;0,026;0,88647;5,9098"
"09.11.22 23:55;0,026;0,88725;5,915"
"09.11.22 23:56;0,024;0,54552;5,4552"
